	benchmark	hardware_vendor	system	cores	chips	cores_per_chip	processor_mhz	base_copies	result	baseline	published	days
163	CINT2006rate	Dell Inc.	Intel Xeon Gold 6142	32	2	16	2600	64	1800	1710	Aug-2017	6422
164	CINT2006rate	Dell Inc.	Intel Xeon Gold 6144	16	2	8	3500	32	0	1120	Sep-2017	6453
165	CINT2006rate	Dell Inc.	Intel Xeon Gold 6146	24	2	12	3200	48	0	1540	Sep-2017	6453
166	CINT2006rate	Dell Inc.	Intel Xeon Gold 6148	40	2	20	2400	80	0	1950	Aug-2017	6422
167	CINT2006rate	Dell Inc.	Intel Xeon Gold 6150	36	2	18	2700	72	2020	1930	Aug-2017	6422
168	CINT2006rate	Dell Inc.	Intel Xeon Gold 6152	44	2	22	2100	88	2090	1990	Aug-2017	6422
169	CINT2006rate	Dell Inc.	Intel Xeon Gold 6154	36	2	18	3000	72	0	2040	Sep-2017	6453
170	CINT2006rate	Dell Inc.	Intel Xeon Gold 5115	20	2	10	2400	40	0	972	Jul-2017	6391
171	CINT2006rate	Dell Inc.	Intel Xeon Gold 5118	24	2	12	2300	48	0	1140	Jul-2017	6391
172	CINT2006rate	Dell Inc.	Intel Xeon Gold 5118	24	2	12	2300	48	0	1110	Jul-2017	6391
173	CINT2006rate	Dell Inc.	Intel Xeon Gold 5119T	28	2	14	1900	56	0	1180	Oct-2017	6483
174	CINT2006rate	Dell Inc.	Intel Xeon Gold 5120	28	2	14	2200	56	0	1280	Jul-2017	6391
175	CINT2006rate	Dell Inc.	Intel Xeon Gold 5120T	28	2	14	2200	56	0	1260	Oct-2017	6483
176	CINT2006rate	Dell Inc.	Intel Xeon Gold 5122	8	2	4	3600	16	0	540	Jul-2017	6391
177	CINT2006rate	Dell Inc.	Intel Xeon Gold 5122	8	2	4	3600	16	0	540	Jul-2017	6391
178	CINT2006rate	Dell Inc.	Intel Xeon Gold 6126	24	2	12	2600	48	0	1280	Jul-2017	6391
179	CINT2006rate	Dell Inc.	Intel Xeon Gold 6126T	24	2	12	2600	48	0	1320	Oct-2017	6483
180	CINT2006rate	Dell Inc.	Intel Xeon Gold 6128	12	2	6	3400	24	0	809	Jul-2017	6391
181	CINT2006rate	Dell Inc.	Intel Xeon Gold 6130	32	2	16	2100	64	0	1510	Jul-2017	6391
182	CINT2006rate	Dell Inc.	Intel Xeon Gold 6130T	32	2	16	2100	64	0	1520	Oct-2017	6483
183	CINT2006rate	Dell Inc.	Intel Xeon Gold 6132	28	2	14	2600	56	0	1510	Jul-2017	6391
184	CINT2006rate	Dell Inc.	Intel Xeon Gold 6134	16	2	8	3200	32	0	1030	Jul-2017	6391
185	CINT2006rate	Dell Inc.	Intel Xeon Gold 6136	24	2	12	3000	48	0	1450	Jul-2017	6391
186	CINT2006rate	Dell Inc.	Intel Xeon Gold 6138	40	2	20	2000	80	0	1760	Jul-2017	6391
187	CINT2006rate	Dell Inc.	Intel Xeon Gold 6138T	40	2	20	2100	80	0	1750	Oct-2017	6483
188	CINT2006rate	Dell Inc.	Intel Xeon Gold 6140	36	2	18	2300	72	0	1760	Jul-2017	6391
189	CINT2006rate	Dell Inc.	Intel Xeon Gold 6142	32	2	16	2600	64	0	1690	Jul-2017	6391
190	CINT2006rate	Dell Inc.	Intel Xeon Gold 6144	16	2	8	3500	32	0	1090	Sep-2017	6453
191	CINT2006rate	Dell Inc.	Intel Xeon Gold 6146	24	2	12	3200	48	0	1500	Sep-2017	6453
192	CINT2006rate	Dell Inc.	Intel Xeon Gold 6148	40	2	20	2400	80	0	1950	Jul-2017	6391
193	CINT2006rate	Dell Inc.	Intel Xeon Gold 6150	36	2	18	2700	72	0	1920	Jul-2017	6391
194	CINT2006rate	Dell Inc.	Intel Xeon Gold 6152	44	2	22	2100	88	0	1970	Jul-2017	6391
195	CINT2006rate	Dell Inc.	Intel Xeon Gold 6154	36	2	18	3000	72	0	2050	Jul-2017	6391
196	CINT2006rate	Dell Inc.	Intel Xeon Gold 5115	40	4	10	2400	80	1940	1840	Jul-2017	6391
197	CINT2006rate	Dell Inc.	Intel Xeon Gold 5118	48	4	12	2300	96	2330	2200	Jul-2017	6391
198	CINT2006rate	Dell Inc.	Intel Xeon Gold 5120	56	4	14	2200	112	2610	2460	Jul-2017	6391
199	CINT2006rate	Dell Inc.	Intel Xeon Gold 5122	16	4	4	3600	32	1150	1080	Jul-2017	6391
200	CINT2006rate	Dell Inc.	Intel Xeon Gold 6126	48	4	12	2600	96	2660	2520	Jul-2017	6391
201	CINT2006rate	Dell Inc.	Intel Xeon Gold 6128	24	4	6	3400	48	1690	1600	Jul-2017	6391
202	CINT2006rate	Dell Inc.	Intel Xeon Gold 6130	64	4	16	2100	128	3080	2920	Jul-2017	6391
203	CINT2006rate	Dell Inc.	Intel Xeon Gold 6132	56	4	14	2600	112	3090	2930	Jul-2017	6391
204	CINT2006rate	Dell Inc.	Intel Xeon Gold 6134	32	4	8	3200	64	2150	2030	Jul-2017	6391
205	CINT2006rate	Dell Inc.	Intel Xeon Gold 6136	48	4	12	3000	96	3040	2860	Jul-2017	6391
206	CINT2006rate	Dell Inc.	Intel Xeon Gold 6138	80	4	20	2000	160	3530	3340	Jul-2017	6391
207	CINT2006rate	Dell Inc.	Intel Xeon Gold 6140	72	4	18	2300	144	3560	3370	Jul-2017	6391
208	CINT2006rate	Dell Inc.	Intel Xeon Gold 6142	64	4	16	2600	128	3450	3280	Jul-2017	6391
209	CINT2006rate	Dell Inc.	Intel Xeon Gold 6144	32	4	8	3500	64	2260	2130	Sep-2017	6453
210	CINT2006rate	Dell Inc.	Intel Xeon Gold 6146	48	4	12	3200	96	3090	2920	Sep-2017	6453
211	CINT2006rate	Dell Inc.	Intel Xeon Gold 6148	80	4	20	2400	160	3910	3730	Jul-2017	6391
212	CINT2006rate	Dell Inc.	Intel Xeon Gold 6150	72	4	18	2700	144	3900	3710	Jul-2017	6391
