	benchmark	hardware_vendor	system	#_cores	#_chips	#_cores_per_chip	processor_mhz	base_copies	result	baseline	published	days
90	CINT2006rate	Fujitsu	Intel Xeon Platinum 8176	56	2	28	2100	112	0	2440	Sep-2017	6422
91	CINT2006rate	Fujitsu	Intel Xeon Platinum 8180	56	2	28	2500	112	2780	2670	Jul-2017	6361
92	CINT2006rate	Fujitsu	Intel Xeon Platinum 8180	56	2	28	2500	112	0	2870	Oct-2017	6453
93	CINT2006rate	Fujitsu	Intel Xeon Platinum 8180	56	2	28	2500	112	2820	2710	Jul-2017	6361
94	CINT2006rate	H3C	Intel Xeon Platinum 8153	32	2	16	2000	64	1390	1320	Sep-2017	6422
95	CINT2006rate	H3C	Intel Xeon Platinum 8164	52	2	26	2000	104	2370	2280	Sep-2017	6422
96	CINT2006rate	H3C	Intel Xeon Platinum 8164	52	2	26	2000	104	2280	2180	Sep-2017	6422
97	CINT2006rate	Hewlett Packard Enterprise	Intel Xeon Platinum 8170	52	2	26	2100	104	0	2260	Oct-2017	6453
98	CINT2006rate	Hewlett Packard Enterprise	Intel Xeon Platinum 8176	56	2	28	2100	112	0	2390	Oct-2017	6453
99	CINT2006rate	Huawei	Intel Xeon Platinum 8153	32	2	16	2000	64	1390	1290	Aug-2017	6391
100	CINT2006rate	Huawei	Intel Xeon Platinum 8156	8	2	4	3600	16	591	551	Aug-2017	6391
101	CINT2006rate	Huawei	Intel Xeon Platinum 8160	48	2	24	2100	96	2260	2150	Jul-2017	6361
102	CINT2006rate	Huawei	Intel Xeon Platinum 8164	52	2	26	2000	104	2300	2170	Aug-2017	6391
103	CINT2006rate	Huawei	Intel Xeon Platinum 8168	48	2	24	2700	96	2610	2490	Jul-2017	6361
104	CINT2006rate	Huawei	Intel Xeon Platinum 8170	52	2	26	2100	104	2400	2260	Jul-2017	6361
105	CINT2006rate	Huawei	Intel Xeon Platinum 8176	56	2	28	2100	112	2520	2380	Jul-2017	6361
106	CINT2006rate	Huawei	Intel Xeon Platinum 8180	56	2	28	2500	112	2900	2770	Jul-2017	6361
107	CINT2006rate	Huawei	Intel Xeon Platinum 8153	32	2	16	2000	64	1390	1290	Aug-2017	6391
108	CINT2006rate	Huawei	Intel Xeon Platinum 8156	8	2	4	3600	16	591	551	Aug-2017	6391
109	CINT2006rate	Huawei	Intel Xeon Platinum 8160	48	2	24	2100	96	2260	2150	Jul-2017	6361
110	CINT2006rate	Huawei	Intel Xeon Platinum 8164	52	2	26	2000	104	2300	2180	Aug-2017	6391
111	CINT2006rate	Huawei	Intel Xeon Platinum 8168	48	2	24	2700	96	2610	2480	Jul-2017	6361
112	CINT2006rate	Huawei	Intel Xeon Platinum 8170	52	2	26	2100	104	2390	2260	Jul-2017	6361
113	CINT2006rate	Huawei	Intel Xeon Platinum 8176	56	2	28	2100	112	2520	2390	Jul-2017	6361
114	CINT2006rate	Huawei	Intel Xeon Platinum 8180	56	2	28	2500	112	2930	2800	Jul-2017	6361
115	CINT2006rate	Huawei	Intel Xeon Platinum 8153	64	4	16	2000	128	2810	2640	Sep-2017	6422
116	CINT2006rate	Huawei	Intel Xeon Platinum 8156	16	4	4	3600	32	1160	1090	Sep-2017	6422
117	CINT2006rate	Huawei	Intel Xeon Platinum 8170	104	4	26	2100	208	4590	4430	Sep-2017	6422
118	CINT2006rate	Huawei	Intel Xeon Platinum 8176	112	4	28	2100	224	4840	4630	Sep-2017	6422
119	CINT2006rate	Huawei	Intel Xeon Platinum 8180	112	4	28	2500	224	0	5520	Jul-2017	6361
120	CINT2006rate	Huawei	Intel Xeon Platinum 8180	224	8	28	2500	448	0	10900	Jul-2017	6361
121	CINT2006rate	Huawei	Intel Xeon Platinum 8153	32	2	16	2000	64	1390	1290	Aug-2017	6391
122	CINT2006rate	Huawei	Intel Xeon Platinum 8156	8	2	4	3600	16	592	551	Aug-2017	6391
123	CINT2006rate	Huawei	Intel Xeon Platinum 8160	48	2	24	2100	96	2270	2150	Jul-2017	6361
124	CINT2006rate	Huawei	Intel Xeon Platinum 8164	52	2	26	2000	104	2300	2170	Aug-2017	6391
125	CINT2006rate	Huawei	Intel Xeon Platinum 8168	48	2	24	2700	96	2610	2490	Jul-2017	6361
126	CINT2006rate	Huawei	Intel Xeon Platinum 8170	52	2	26	2100	104	2400	2260	Jul-2017	6361
127	CINT2006rate	Huawei	Intel Xeon Platinum 8176	56	2	28	2100	112	2530	2390	Jul-2017	6361
